version,ba,datatype,market,value,point_time
3,CAISO_ZP26,MOER,RTM,1039.00,2019-01-21 00:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1039.00,2019-01-21 00:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1027.00,2019-01-21 00:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1027.00,2019-01-21 00:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1009.00,2019-01-21 00:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1009.00,2019-01-21 00:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1053.00,2019-01-21 00:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1053.00,2019-01-21 00:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1046.00,2019-01-21 00:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1046.00,2019-01-21 00:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1037.00,2019-01-21 00:25:00 UTC
3,CAISO_ZP26,MOER,RTM,1037.00,2019-01-21 00:25:00 UTC
3,CAISO_ZP26,MOER,RTM,1026.00,2019-01-21 00:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1026.00,2019-01-21 00:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1025.00,2019-01-21 00:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1025.00,2019-01-21 00:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1039.00,2019-01-21 00:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1039.00,2019-01-21 00:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1036.00,2019-01-21 00:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1036.00,2019-01-21 00:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1033.00,2019-01-21 00:55:00 UTC
3,CAISO_ZP26,MOER,RTM,1033.00,2019-01-21 00:55:00 UTC
3,CAISO_ZP26,MOER,RTM,994.00,2019-01-21 01:00:00 UTC
3,CAISO_ZP26,MOER,RTM,994.00,2019-01-21 01:00:00 UTC
3,CAISO_ZP26,MOER,RTM,996.00,2019-01-21 01:05:00 UTC
3,CAISO_ZP26,MOER,RTM,996.00,2019-01-21 01:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1004.00,2019-01-21 01:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1004.00,2019-01-21 01:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 01:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 01:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 01:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 01:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 01:25:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 01:25:00 UTC
3,CAISO_ZP26,MOER,RTM,1009.00,2019-01-21 01:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1009.00,2019-01-21 01:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1009.00,2019-01-21 01:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1009.00,2019-01-21 01:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 01:40:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 01:40:00 UTC
3,CAISO_ZP26,MOER,RTM,996.00,2019-01-21 01:45:00 UTC
3,CAISO_ZP26,MOER,RTM,996.00,2019-01-21 01:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 01:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 01:50:00 UTC
3,CAISO_ZP26,MOER,RTM,996.00,2019-01-21 01:55:00 UTC
3,CAISO_ZP26,MOER,RTM,996.00,2019-01-21 01:55:00 UTC
3,CAISO_ZP26,MOER,RTM,1012.00,2019-01-21 02:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1012.00,2019-01-21 02:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1012.00,2019-01-21 02:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1012.00,2019-01-21 02:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1011.00,2019-01-21 02:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1011.00,2019-01-21 02:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1006.00,2019-01-21 02:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1006.00,2019-01-21 02:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 02:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 02:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 02:25:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 02:25:00 UTC
3,CAISO_ZP26,MOER,RTM,1000.00,2019-01-21 02:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1000.00,2019-01-21 02:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1000.00,2019-01-21 02:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1000.00,2019-01-21 02:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 02:40:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 02:40:00 UTC
3,CAISO_ZP26,MOER,RTM,1017.00,2019-01-21 02:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1017.00,2019-01-21 02:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1019.00,2019-01-21 02:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1019.00,2019-01-21 02:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1018.00,2019-01-21 02:55:00 UTC
3,CAISO_ZP26,MOER,RTM,1018.00,2019-01-21 02:55:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 03:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 03:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1009.00,2019-01-21 03:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1009.00,2019-01-21 03:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 03:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 03:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1015.00,2019-01-21 03:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1015.00,2019-01-21 03:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 03:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 03:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 03:25:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 03:25:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 03:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 03:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1006.00,2019-01-21 03:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1006.00,2019-01-21 03:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1010.00,2019-01-21 03:40:00 UTC
3,CAISO_ZP26,MOER,RTM,1010.00,2019-01-21 03:40:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 03:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 03:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 03:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1002.00,2019-01-21 03:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 04:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1008.00,2019-01-21 04:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1029.00,2019-01-21 04:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1029.00,2019-01-21 04:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1024.00,2019-01-21 04:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1024.00,2019-01-21 04:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1027.00,2019-01-21 04:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1027.00,2019-01-21 04:30:00 UTC
3,CAISO_ZP26,MOER,RTM,1030.00,2019-01-21 04:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1030.00,2019-01-21 04:35:00 UTC
3,CAISO_ZP26,MOER,RTM,1026.00,2019-01-21 04:40:00 UTC
3,CAISO_ZP26,MOER,RTM,1026.00,2019-01-21 04:40:00 UTC
3,CAISO_ZP26,MOER,RTM,1029.00,2019-01-21 04:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1029.00,2019-01-21 04:45:00 UTC
3,CAISO_ZP26,MOER,RTM,1015.00,2019-01-21 04:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1015.00,2019-01-21 04:50:00 UTC
3,CAISO_ZP26,MOER,RTM,1033.00,2019-01-21 04:55:00 UTC
3,CAISO_ZP26,MOER,RTM,1033.00,2019-01-21 04:55:00 UTC
3,CAISO_ZP26,MOER,RTM,1030.00,2019-01-21 05:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1030.00,2019-01-21 05:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1028.00,2019-01-21 05:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1028.00,2019-01-21 05:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1025.00,2019-01-21 05:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1025.00,2019-01-21 05:10:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 05:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1005.00,2019-01-21 05:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1006.00,2019-01-21 05:20:00 UTC
3,CAISO_ZP26,MOER,RTM,1006.00,2019-01-21 05:20:00 UTC
3,CAISO_ZP26,MOER,RTM,987.00,2019-01-21 05:25:00 UTC
3,CAISO_ZP26,MOER,RTM,987.00,2019-01-21 05:25:00 UTC
3,CAISO_ZP26,MOER,RTM,979.00,2019-01-21 05:30:00 UTC
3,CAISO_ZP26,MOER,RTM,979.00,2019-01-21 05:30:00 UTC
3,CAISO_ZP26,MOER,RTM,980.00,2019-01-21 05:35:00 UTC
3,CAISO_ZP26,MOER,RTM,980.00,2019-01-21 05:35:00 UTC
3,CAISO_ZP26,MOER,RTM,995.00,2019-01-21 05:50:00 UTC
3,CAISO_ZP26,MOER,RTM,995.00,2019-01-21 05:50:00 UTC
3,CAISO_ZP26,MOER,RTM,987.00,2019-01-21 05:55:00 UTC
3,CAISO_ZP26,MOER,RTM,987.00,2019-01-21 05:55:00 UTC
3,CAISO_ZP26,MOER,RTM,984.00,2019-01-21 06:00:00 UTC
3,CAISO_ZP26,MOER,RTM,984.00,2019-01-21 06:00:00 UTC
3,CAISO_ZP26,MOER,RTM,1014.00,2019-01-21 06:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1014.00,2019-01-21 06:05:00 UTC
3,CAISO_ZP26,MOER,RTM,1017.00,2019-01-21 06:15:00 UTC
3,CAISO_ZP26,MOER,RTM,1017.00,2019-01-21 06:15:00 UTC
